,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
abu jubayhah,11.27,31.77,71.09,17,0,8.77
abu kamal,34.45,40.92,66.41,26,0,15.26
adrar,27.87,-0.29,77.0,28,0,9.89
adre,13.47,22.2,67.4,23,0,7.99
ahipara,-35.17,173.16,69.38,86,48,13.47
ahuimanu,21.44,-157.84,72.52,78,90,9.17
ailigandi,9.23,-78.02,80.36,78,76,8.43
airai,-8.93,125.41,66.95,90,24,1.61
aklavik,68.22,-135.01,6.8,71,90,6.93
albany,42.65,-73.75,31.06,26,20,14.99
albox,37.39,-2.15,57.2,82,40,33.33
alekseyevsk,57.84,108.35,20.51,91,0,4.97
alghero,40.56,8.32,53.6,71,40,11.41
algiers,29.94,-90.04,79.54,78,75,17.22
alikalia,9.15,-11.39,78.29,74,8,4.18
alofi,-19.06,-169.92,77.0,94,76,1.12
amahai,-3.31,129.0,83.06,100,20,7.2
ambon,47.55,-2.56,37.4,64,90,13.87
amderma,73.9,60.7,-18.1,79,48,34.61
ames,42.03,-93.62,51.4,50,1,18.34
ancud,-41.87,-73.83,56.24,94,88,7.2
anito,12.45,125.29,81.35,100,80,8.43
apopka,28.68,-81.51,78.44,42,20,8.05
aquidauana,-20.47,-55.78,86.48,73,48,3.18
aranos,-24.14,19.11,66.05,81,8,3.4
araouane,18.9,-3.53,69.47,19,0,6.42
arlit,18.74,7.39,69.47,23,0,5.3
arrah,25.56,84.66,64.43,53,20,5.97
arraial do cabo,-22.97,-42.02,92.59,55,0,14.99
asayita,12.07,41.96,64.16,76,0,2.62
atambua,-9.11,124.89,75.59,100,68,4.41
atar,20.52,-13.05,84.2,20,0,9.17
attawapiskat,55.62,-78.88,8.36,100,48,18.5
atuona,-9.8,-139.03,81.53,100,64,16.26
auki,12.18,6.51,71.09,37,0,3.96
avarua,-21.21,-159.78,82.4,78,40,4.7
avera,33.19,-82.53,65.12,77,90,4.74
ballina,54.11,-9.15,37.4,51,0,8.05
bambous virieux,-20.34,57.76,78.8,94,75,9.17
bandarbeyla,9.49,50.81,78.11,100,32,13.69
bani,15.89,120.27,70.73,100,0,3.62
barentsburg,74.95,12.07,26.18,100,80,10.56
barra patuca,15.8,-84.28,82.52,84,8,12.35
barrow,-38.31,-60.23,74.69,38,0,7.09
baruun-urt,46.68,113.28,16.37,69,0,5.19
basoko,1.23,23.61,69.74,100,76,5.97
batagay,67.65,134.64,-27.55,42,44,2.95
bathsheba,13.22,-59.52,78.29,100,36,10.33
bay roberts,47.58,-53.28,28.4,74,90,18.34
belmonte,40.36,-7.35,36.35,78,0,9.89
beloha,-25.17,45.06,73.43,89,32,4.85
belushya guba,81.71,49.03,-12.07,100,20,16.26
bengkulu,-9.97,93.48,82.7,100,92,7.65
benguela,-12.58,13.4,77.93,100,80,1.61
bentiu,9.17,30.38,74.06,34,12,4.97
bereda,43.27,-7.54,44.6,75,75,16.11
beringovskiy,63.05,179.32,3.5,100,64,6.53
bethel,60.79,-161.76,23.0,92,20,16.11
biloela,-24.4,150.51,70.1,93,36,8.1
bluff,-23.58,149.07,72.71,91,0,8.43
bogorodskoye,52.37,140.44,1.79,59,0,5.64
boguchany,58.38,97.46,22.67,84,0,5.19
bolungarvik,69.72,-28.69,-8.47,49,0,11.79
brae,60.4,-1.35,39.2,80,0,9.17
brasileia,-10.91,-68.8,87.8,66,40,4.7
bredasdorp,-34.53,20.04,59.0,72,0,1.12
brenham,30.17,-96.4,78.21,33,1,16.11
broken hill,-31.97,141.45,57.68,94,32,12.24
broome,52.47,1.45,35.6,80,75,16.11
bulungu,-4.54,18.6,73.88,84,48,4.41
buraydah,26.33,43.97,82.4,28,20,14.99
